artigoEmPeriodico	2007		X-BDI e AgentSpeak(L): X-BDI e AgentSpeak(L): o processo de conversão de um Tutor Inteligente	Hífen (Uruguaiana)	GOULART, R. R. V. ; PEREZ, Cláudia Camerini Correa ; GIRAFFA, L. M. M. ; ZAMBERLAN, A. O.	C	Hífen (Uruguaiana. Online)
resumoExpandidoEmCongresso	2012	Ferramenta Geradora de TimeTables Estudantis	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC	AMORIM, G. S. ; CANTARELLI, G. S. ; ZAMBERLAN, A. O.	Qualis nao identificado	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC
resumoExpandidoEmCongresso	2012	INTEGRAÇÃO DE SERVIÇOS PARA PUBLICAÇÃO ELETRÔNICA DE DADOS	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC	CORADINI, F. C. ; ZAMBERLAN, A. O.	Qualis nao identificado	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC
resumoExpandidoEmCongresso	2012	Técnicas de Organização de Sistemas Multiagentes	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC	COUTINHO, P. N. ; ZAMBERLAN, A. O.	Qualis nao identificado	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC
resumoExpandidoEmCongresso	2012	Serviços Microcontrolados em Ambientes Inteligentes	XI SIMPÓSIO DE INFORMÁTICA DA UNIDRA, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA. Santa Maria: Centro Universitário Franciscano	PEROZZO, R. F. ; ZAMBERLAN, A. O.	Qualis nao identificado	XI SIMPÓSIO DE INFORMÁTICA DA UNIDRA, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA. Santa Maria: Centro Universitário Franciscano
resumoExpandidoEmCongresso	2012	Avaliando o Comportamento de Sistema Multiagente em um Ambiente Almoxarifado	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC	ROSA, D. I. ; ZAMBERLAN, A. O.	Qualis nao identificado	XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC, 2012, Santa Maria. XI SIMPÓSIO DE INFORMÁTICA DA UNIFRA - SIRC
resumoExpandidoEmCongresso	2011	O Lego Mindistorms na Aprendizagem de Gestão de Projetos	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital	CARDOSO, R. C. ; TRANQUILO, D. ; BARCHET, C. L. ; ZAMBERLAN, A. O.	Qualis nao identificado	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital
resumoExpandidoEmCongresso	2011	Planejamento de Percepções e Ações de Agentes Jason no Robô Lego Mindstorms NXT 1.0	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital	CARDOSO, R. C. ; ZAMBERLAN, A. O.	Qualis nao identificado	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital
resumoExpandidoEmCongresso	2011	Agente para Controle do Google Agenda	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital	COSTA, C. V. ; PEREIRA, H. G. G. ; ZAMBERLAN, A. O.	Qualis nao identificado	XV Simpósio de Ensino, Pesquisa e Extensão, 2011, Santa Maria. Educação e Ciência na Era Digital
resumoExpandidoEmCongresso	2010	Estendendo os processos de mapeamento e de navegação do Robô MindStorms NXT via AgentSpeak(L) e Jason	XIV Simpósio de Ensino, Pesquisa e Extensão, 2010, Santa Maria. Responsabilidade Socioambiental	TRINDADE, R. S. ; ZAMBERLAN, A. O.	Qualis nao identificado	XIV Simpósio de Ensino, Pesquisa e Extensão, 2010, Santa Maria. Responsabilidade Socioambiental
resumoExpandidoEmCongresso	2009	Implementação de navegação em robô construído com o pacote Lego Mindstorms	XIII Simpósio de Ensino, Pesquisa e Extensão, 2009, Santa Maria. Educação, Ciência e Inovação	BELMIRO, H. F. ; DHEIN, G. ; TRINDADE, R. S. ; ZAMBERLAN, A. O.	Qualis nao identificado	XIII Simpósio de Ensino, Pesquisa e Extensão, 2009, Santa Maria. Educação, Ciência e Inovação
resumoExpandidoEmCongresso	2007	Engenharia do Conhecimento: estudo prático no contexto da Extensão Universitária	Feira de Iniciação Científica e Salão de Extensão, 2007, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Editora Feevale	REIS, Alessandro Cardoso ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2007, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Editora Feevale
resumoExpandidoEmCongresso	2006	Existe "vida livre" além do Linux	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	AQUINO, Rafael ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
resumoExpandidoEmCongresso	2006	Desenvolvimento rápido de jogos: estudo de caso	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	FREITAS, Lucas Eskeff ; GOULART, R. R. V. ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
resumoExpandidoEmCongresso	2006	AS-MCOE AgentSpeak MCOE	Salão de Iniciação Científica, 2006, Porto Alegre. XVIII Salão de Iniciação Científica 2006, UFRGS	FREITAS, Lucas Eskeff ; GOULART, R. R. V. ; ZAMBERLAN, A. O.	Qualis nao identificado	Salão de Iniciação Científica, 2006, Porto Alegre. XVIII Salão de Iniciação Científica 2006, UFRGS
resumoExpandidoEmCongresso	2006	Sistema de observação inteligente para a gestão de equipes de voleibol	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	FREITAS, Lucas Eskeff ; ZAMBERLAN, A. O. ; GOULART, R. R. V.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
resumoExpandidoEmCongresso	2006	Vantagens do uso de software livre no desenvolvimento de novos sistemas	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	HECKLER, R. ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
resumoExpandidoEmCongresso	2006	JOOMLA!	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	HECKLER, R. ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
resumoExpandidoEmCongresso	2006	Proposta de ferramenta de catálogo de objetos de aprendizagem para ambientes de ensino a distância	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale	LEONARDI, Juliano ; WIVES, L. K. ; ZAMBERLAN, A. O.	Qualis nao identificado	Feira de Iniciação Científica e Salão de Extensão, 2006, Novo Hamburgo. Feira de Iniciação Científica e Salão de Extensão. Novo Hamburgo: Feevale
