artigoEmPeriodico	2005		Modelo Euleriano bidimensional para a difusao -advecçao turbulent na camada limite planetaria - parte 1	Ciência e Natura, Santa Maria	PUHALES, F S ; COSTA, F D ; WELTER, G. S. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		Comparação do fluxo de CO2 com diferentes coberturas vegetais em uma área de cultivo de arroz no centro do Rio Grande do Sul	Ciência e Natura, Santa Maria	PUHALES, F S ; WELTER, G. S. ; ANABOR, V ; COSTA, F D ; DEGRAZIA, Gervasio Annes ; ACEVEDO, O C ; MORAES, O L L	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		Estimação da dimensão horizontal de uma fonte área	Ciência e Natura, Santa Maria	ROBERTI, D R ; ANFOSSI, D ; VELHO, H F Campos ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005		Estimação da taxa de emissão e localização de fontes	Ciência e Natura, Santa Maria	ROBERTI, Debora R ; ANFOSSI, D ; VELHO, H F de Campos ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005	http://dx.doi.org/10.1007/s10766-005-7302-z	Parallel Implementation of a Lagrangian Stochastic Model for Pollutant Dispersion	International Journal of Parallel Programming	Roberti, Debora R. ; Souto, Roberto P. ; VELHO, Haroldo F. Campos ; DEGRAZIA, G ; ANFOSSI, Domenico	B4	
artigoEmPeriodico	2005		Simulação de dispersão de contaminantes em condições de forte convecção	Revista Brasileira de Meteorologia	SASTRE, Fabiane ; CAMPOS, Claudia Rejane de ; DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson	C	Revista Brasileira de Meteorologia (Impresso)
artigoEmPeriodico	2005		A influência do decaimento da turbulência convectiva no cálculo da concentração superficial de contaminantes	Revista Brasileira de Meteorologia	SILVEIRA, Camila P ; CAMPOS, Claudia Jacondino de ; DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson Martins ; GOULART, Antonio G	C	Revista Brasileira de Meteorologia (Impresso)
artigoEmPeriodico	2005		Comparação de Modelos de difusão unidimensional para uma fonte pontual instantanea	Ciência e Natura, Santa Maria	TIMM, A U ; ROBERTI, D R ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2005	http://dx.doi.org/10.1016/j.physa.2005.02.039	Representing intermittency in turbulence fluxes: An application to the stable atmospheric boundary layer	Physica. A	VELHO, Haroldo Fraga de Campos ; ROSA, Reinaldo ; RAMOS, Fernando ; PIELKE, Roger ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Physica. A
artigoEmPeriodico	2005		Estimativa da constante de Kolmogorov a partir de dados experimentais	Ciência e Natura, Santa Maria	WELTER, G. S. ; WITTWER, A. R. ; DEGRAZIA, Gervasio Annes ; SOUZA, A Loredo ; ACEVEDO, O ; SCHETTINI, e ; MORAES, O L L	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2004		Atmospheric Turbulence Decay During the Solar Total Eclipse of 11 August 1999	Boundary - Layer Meteorology, Holanda	ANFOSSI, Domenico ; SCHAYES, Guy ; DEGRAZIA, Gervasio Annes ; GOULART, Antonio	B3	Boundary Layer Meteorology
artigoEmPeriodico	2004		Coeficientes de difusão turbulentos para Camada Residual	Revista Brasileira de Meteorologia, São Paulo	GOULART, Antonio ; DEGRAZIA, Gervasio Annes ; CAMPOS, Claudia Jacondino de ; SILVEIRA, Camila P	C	Revista Brasileira de Meteorologia (Impresso)
artigoEmPeriodico	2004		A model for the estimation of standard deviationof air pollution concentration in different stability conditions	Il Nuovo Saggiatore, Bolonha	MANGIA, Cristina ; SCHIPA, I ; DEGRAZIA, Gervasio Annes ; TIRABASSI, Tiziano ; RIZZA, Umberto	Qualis nao identificado	Il Nuovo Saggiatore, Bolonha
artigoEmPeriodico	2004		Dispersion of pollutants from an elevated source in the residual layer: the influence of the convective decaying turbulence in the ground-level concentration	Air Pollution Modeling And Its Application, New York	MOREIRA, Davidson ; VILHENA, Marco T ; GOULART, Antonio ; DEGRAZIA, Gervasio Annes ; ANFOSSI, Domenico ; CARVALHO, Jonas ; FERREIRA NETO, Paulo	Qualis nao identificado	Air Pollution Modeling And Its Application, New York
artigoEmPeriodico	2004		Identifying counter-gradient term in atmospheric convective boundary layer	Inverse Problems In Science And Engineering, Florida	ROBERTI, D. ; VELHO, Haroldo F de Campos ; DEGRAZIA, Gervasio Annes	C	Inverse Problems in Science and Engineering (Online)
artigoEmPeriodico	2003		Simulação da dispersao de poluentes com um modelo numérico 3D	Ciência e Natura, Santa Maria	ARBAGE, M C ; DEGRAZIA, Gervasio Annes ; ACEVEDO, O ; MORAES, O	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Um eestudo teórico e observacional da intermitência na Camada Limite Estável	Ciência e Natura, Santa Maria	BRAUER, C ; ACEVEDO, O ; DEGRAZIA, Gervasio Annes ; MORAES, O	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		A model based on Heisenberg's theory for the eddy diffusivity in decaying turbulence applied to the residual layer	Il nuovo cimento C, Italia	DEGRAZIA, Gervasio Annes ; GOULART, A. ; ANFOSSI, D. ; VELHO, H. F. C. ; LUKASZCYK, J. P. ; PALANDI, J.	Qualis nao identificado	Il nuovo cimento C, Italia
artigoEmPeriodico	2003		Uma Parametrização Para o Skewness na Camada Limite Convectiva	Ciência e Natura, Santa Maria	DEGRAZIA, Gervasio Annes ; WELTER, G. S. ; MOREIRA, Davidson ; GOULART, Antonio ; BRAUER, Cristian ; CARVALHO, Jonas	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		A theoretical model for the study of the convective turbulence decay and comparison with LES data	Boundary Layer Meteorology	GOULART, A. G. ; DEGRAZIA, Gervasio Annes ; RIZZA, U. ; ANFOSSI, D.	B3	
artigoEmPeriodico	2003		Investigação Analitica do Fenômeno de Oscilações de Baixas Frequências do Vento Horizontal Pelo Emprego das Equações de Navier-Stokes	Ciência e Natura, Santa Maria	GOULART, Antonio ; DEGRAZIA, Gervasio Annes ; ROBERTI, D. ; ANFOSSI, Domenico ; OETTL, Dietmar ; MORAES, Osvaldo ; ACEVEDO, Otávio	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Cálculo do espectro 3D na camada limite convectiva a partir das componentes unidimensais obtidas de dados experimentais	Ciência e Natura, Santa Maria	MEDEIROS, L e ; GOULART, A ; ACEVEDO, O ; DEGRAZIA, Gervasio Annes ; MORAES, O	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Comparação entre coeficientes de difusão turbulentos válidos para uma camada limite convectiva	Ciência e Natura, Santa Maria	NUNES, A ; DEGRAZIA, Gervasio Annes ; CAMPOS, C ; MOREIRA, D ; FONSECA, J F	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Comparação entre coeficientes de difusão turbulentos válidos para uma camada limite neutra	Ciência e Natura, Santa Maria	NUNES, A ; DEGRAZIA, Gervasio Annes ; CAMPOS, C ; MOREIRA, D ; FONSECA, J F	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Influencia de condições de forte convecção na simulação da dispersão de contaminantes	Ciência e Natura	SASTRE, F ; CAMPOS, C ; DEGRAZIA, Gervasio Annes ; MOREIRA, D ; PINTO, L B	C	
artigoEmPeriodico	2003		Influência da Camada Limite Residual no cálculo da concentração superficial de contaminantes	Ciência e Natura, Santa Maria	SILVEIRA, C ; CAMPOS, C ; DEGRAZIA, Gervasio Annes ; MOREIRA, D ; GOULART, A	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2003		Um modelo de deslocamento aleatório com coeficientes de difusao dependente da distancia da fonte	Ciência e Natura, Santa Maria	SZINVELSKI, C ; CARVALHO, J C ; DEGRAZIA, Gervasio Annes ; MOREIRA, D	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2002		Application of a model system for the study of transport and diffusin in complex terrain to the TRACT experiment	Atmospheric Environment, Estados Unidos	CARVALHO, Jonas da Costa ; ANFOSSSI, D. ; CASTELLI, S. T. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Atmospheric Environment, Estados Unidos
artigoEmPeriodico	2002		Lagrangian stochastic dispersion modelling for the simulation of the release of contaminants from tall and low sources	Meteorologische Zeitschrift, Berlin	CARVALHO, Jonas da Costa ; DEGRAZIA, Gervasio Annes ; ANFOSSSI, D. ; CAMPOS, C. R. J. ; ROBERTI, Debora Regina ; KERR, A. S.	B1	Meteorologische Zeitschrift (Berlin)
artigoEmPeriodico	2002		Estudo Observacional dos Jatos de Nível Baixo Sobre a Região Metropolitana de Porto Alegre	Revista Brasileira de Recursos Hídricos, Brasil	CORREA, C. S. ; DALLAROSA, R. L. ; DEGRAZIA, Gervasio Annes	C	Revista Brasileira de Recursos Hídricos
artigoEmPeriodico	2002		Comparison between an integral and algebraic formulation for the eddy diffusivity using the Copenhagen experimental dataset	Il Nuovo Cimento, Itália	DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson Martins ; CAMPOS, C. R. J. ; CARVALHO, Jonas da Costa ; VILHENA, Marco Tulio de	Qualis nao identificado	Il Nuovo Cimento, Itália
artigoEmPeriodico	2002		A mathematical model for the decaying energy density spectrum in a convective boundary layer: isotropic case	Hybrid Methods in Engineering, New York	GOULART, A. G. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D ; VILHENA, M. T. ; CAMPOS, Claudia Jacondino de	Qualis nao identificado	Hybrid Methods in Engineering, New York
artigoEmPeriodico	2002		Evaluation of a new eddy diffusivity parameterisation from turbulent Eulerian spectra in different stability conditions	Atmospheric Environment	MANGIA, C. ; MOREIRA, Davidson Martins ; SCHIPA, I. ; DEGRAZIA, Gervasio Annes ; TIRABASSI, T. ; RIZZA, U.	B1	Atmospheric Environment (1994)
artigoEmPeriodico	2002		Dispersion parameterization applied to strong convection: low source case	Hybrid Methods in Engineering, New York	MOREIRA, Davidson M ; CARVALHO, Jonas C ; DEGRAZIA, Gervasio Annes ; VILHENA, Marco T ; MORAES, Marcelo Romero de	Qualis nao identificado	Hybrid Methods in Engineering, New York
artigoEmPeriodico	2002		Two-dimensional dispersion analytical approach: Eddy diffusivities depending on source distance	Il Nuovo Cimento, Italia	MOURA, A. ; DEGRAZIA, Gervasio Annes ; VILHENA, M. T.	Qualis nao identificado	Il Nuovo Cimento, Italia
artigoEmPeriodico	2001		Funções de autocorrelação em sistema fluidos longe do equilibrio: um prototipo do fenomeno de autocorrelação em sistemas naturais	Ciência e Natura, Santa Maria	BLANCO, C C ; GOULART, A G ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2001		Turbulence parameterisation for Lagrangian Stochastic Dispersion Models	Revista Brasileira de Meteorologia	DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J. ; CARVALHO, Jonas da Costa ; ANFOSSSI, D. ; GOULART, A. G. O.	C	Revista Brasileira de Meteorologia (Impresso)
artigoEmPeriodico	2001		Comparação entre coeficientes de difusão derivados do espectro de energia turbulenta e coeficientes de difusao que dependem da razao entre fluxos de entranhamento e os de superfície	Ciência e Natura, Santa Maria	DEGRAZIA, Gervasio Annes ; MOREIRA, D ; NUNES, A B ; CAMPOS, C R J ; PROCHNOW, A ; FONSECA, F A	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2001		Derivation of an eddy diffusivity depending on source distance for vertically inhomogeneous turbulence in a Convective Boundary Layer	Journal of Applied Meteorology (Boston), Boston	DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson Martins ; VILHENA, M. T.	Qualis nao identificado	Journal of Applied Meteorology (Boston), Boston
artigoEmPeriodico	2001		Turbulent dispersion from tall stack in the unstable boundary layer: a comparison between gaussian and k-diffusion modelling for non buoyant emissions.	Il Nuovo Saggiatore, Bolonha	RIZZA, U. ; DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson Martins ; BRAUER, C. R. N. ; CAMPOS, C. R. J. ; TIRABASSI, T.	Qualis nao identificado	Il Nuovo Saggiatore, Bolonha
artigoEmPeriodico	2001		Evaluation of a non-Gaussian puff model	International Journal Environment and Pollution	TIRABASSI, T. ; RIZZA, U. ; MANGIA, C. ; DEGRAZIA, Gervasio Annes	B5	International Journal of Environment and Pollution
artigoEmPeriodico	2001		Multifractal model for eddy diffusivity and counter-gradient term in atmospheric turbulence	Physica. A, Amsterdam	VELHO, H. F. C. ; ROSA, R. R. ; RAMOS, F. M. ; PIELKE, R. A. ; DEGRAZIA, Gervasio Annes ; RODRIGUES NETO, C. ; ZANANDREA, A.	Qualis nao identificado	Physica. A, Amsterdam
artigoEmPeriodico	2000		Estimation of the Lagrangian Strucuture Function Constant C0 from Surface Layer Wind Data	Boundary - Layer Meteorology, Holanda	ANFOSSI, D. ; DEGRAZIA, Gervasio Annes ; FERRERO, E. ; GRYINING, S. E. ; MORSELLI, M. G. ; CASTELLI, S. T.	B3	Boundary Layer Meteorology
artigoEmPeriodico	2000		Influência da constante de Corrsin no cálculo dos coeficientes de difusão turbulentos	Ciência e Natura, Santa Maria	BRAUER, C. R. N. ; DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J.	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2000		Simulação da dispersão de Poluentes na CLP utilizando um sistema de modelos	Ciência e Natura, Santa Maria	CARVALHO, J. C. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D.	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2000		Turbulence Parameterization for PBL Dispersion Models in All Stability Conditions	Atmospheric Environment, Estados Unidos	DEGRAZIA, Gervasio Annes ; ANFOSSI, D. ; CARVALHO, J. C. ; MANGIA, C. ; TIRABASSI, T.	Qualis nao identificado	Atmospheric Environment, Estados Unidos
artigoEmPeriodico	2000		Derivation of eddy diffusivities depending on the source distance	Hybrid Methods In Engineering, New York	DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J. ; VILHENA, M. T.	Qualis nao identificado	Hybrid Methods In Engineering, New York
artigoEmPeriodico	2000		Decaimento da turbulência convectiva: uma estimativa do coeficiente de difusão turbulento na Camada Residual	Ciência e Natura, Santa Maria	GOULART, A. G. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D. ; VELHO, H. F. C.	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2000		Evaluation of a time dependent air pollution model with a new vertical turbulent parameterization	Ciência e Natura, Santa Maria	MANGIA, C. ; RIZZA, Umberto ; TIRABASSI, T. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2000		An Integral Formulation for the Dispersion Parameters in a Shear-Buoyancy-Driven Planetary Boundary layer for Use in a Gaussian Model for Tall Stacks	Journal of Applied Meteorology (Boston), Boston	MANGIA, Cristina ; DEGRAZIA, Gervasio Annes ; RIZZA, Umberto	Qualis nao identificado	Journal of Applied Meteorology (Boston), Boston
artigoEmPeriodico	2000		Modelo Euleriano semi-analítico para a dispersão de contaminantes na CLP	Ciência e Natura, Santa Maria	MOREIRA, Davidson Martins ; MOURA, A. B. D. ; VILHENA, M. T. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	Ciência e Natura, Santa Maria
artigoEmPeriodico	2000		A Model for the Dispersion of puffs into the Planetary Boundary Layer	International Journal of Environment and Pollution, Holanda	RIZZA, U. ; MANGIA, C. ; DEGRAZIA, Gervasio Annes ; TIRABASSI, T.	B5	International Journal of Environment and Pollution
artigoEmPeriodico	2000		An Automatic Methodology for Estimating Eddy Difusivities from Experimental Data	Il Nuovo Saggiatore, Bologna	VELHO, H. F. C. ; MORAES, M. R. ; RAMOS, F. M. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D.	Qualis nao identificado	Il Nuovo Saggiatore, Bologna
artigoEmPeriodico	1999		Simulation of Copenhagen tracer diffusion experiment by means of a Lagrangian particle model	Hybrid Methods in Engineering, Nova York	CARVALHO, J. C. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D. ; CASTELLI, S. T.	Qualis nao identificado	Hybrid Methods in Engineering, Nova York
artigoEmPeriodico	1999		An algebraic expression for eddy diffusivity in the residual layer	Air Pollution, Inglaterra	DEGRAZIA, Gervasio Annes ; J. P. Lukaszczyk ; ANFOSSI, D.	Qualis nao identificado	Air Pollution, Inglaterra
artigoEmPeriodico	1999		Universality of the Lagrangian velocity structure function constant:the Landau objection	Anais da Academia Brasileira de Ciências, Rio de Janeiro	DEGRAZIA, Gervasio Annes ; J. P. Lukaszczyk ; ANFOSSI, D. ; VELHO, H. F. C.	B3	Anais da Academia Brasileira de Ciências (Online)
artigoEmPeriodico	1999		Dispersion from Low Sources in a Convective Boundary Layer: An Analytical Model	Il Nuovo Saggiatore, Bologna	MOREIRA, D. M. ; DEGRAZIA, Gervasio Annes ; VILHENA, M. T.	Qualis nao identificado	Il Nuovo Saggiatore, Bologna
trabalhoCompletoEmCongresso	2011		EMPREGO DE UM MODELO DE DISPERSÃO TURBULENTO NO ESTUDO DA UNIVERSALIDADE DA TAXA DE DISSIPAÇÃO DA ENERGIA	XVII Congresso Brasileiro de Agrometeorologia	GONCALVES, J.B. ; MALDANER, S. ; Degrazia, G.	Qualis nao identificado	XVII Congresso Brasileiro de Agrometeorologia
trabalhoCompletoEmCongresso	2011		SKEWNESS DA VELOCIDADE VERTICAL TURBULENTA OBTIDO POR SIMULAÇÃO LES: UMA APLICAÇÃO EM MODELOS LAGRANGIANOS	XVII Congresso Brasileiro de Agrometeorologia	MALDANER, S. ; Degrazia, G. A. ; Puhales, Franciano Scremin ; RIZZA, U	Qualis nao identificado	XVII Congresso Brasileiro de Agrometeorologia
trabalhoCompletoEmCongresso	2004		Intermittency and surface exchange of scalars at the nocturnal boundary layer	The 16 th symposium on Boudary Layers and Turbulence	ACEVEDO, Otavio ; MORAES, Osvaldo ; DEGRAZIA, Gervasio Annes ; MEDEIROS, Luis e	Qualis nao identificado	The 16 th symposium on Boudary Layers and Turbulence
trabalhoCompletoEmCongresso	2004		Uma solução alternativa da equação de Langevin usando a função densidade de probabilidade Gram-Charlier 	XIII Congresso Brasileiro de Meteorologia	CARVALHO, Jonas da Costa ; NICHIMURA, e R ; VILHENA, Marco Tulio ; MOREIRA, Davidson Martins ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Uma solução alternativa da equação de lagevin usando a função densidade de probabilidade gram-charlier	XIII Congresso Brasileiro de Meteorologia	CARVALHO, Jonas da Costa ; NICHIMURA, Ézio R ; VILHENA, Marco T ; MOREIRA, Davidson M ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Derivação de uma nova relação para a função de dissipação turbulenta 	XIII Congresso Brasileiro de Meteorologia	DEGRAZIA, Gervasio Annes ; ACEVEDO, Otavio ; CARVALHO, Jonas da Costa ; GOULART, Antonio ; MORAES, Osvaldo ; VELHO, Haroldo de Campos ; MOREIRA, Davidson	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Considerações sobre a universalidade de uma relação fundamental em turbulência bem desenvolvida	XIII Congresso Brasileiro de Meteorologia	DEGRAZIA, Gervasio Annes ; ACEVEDO, Otávio C. ; CARVALHO, Jonas C. ; GOULART, Antonio G. ; MORAES, Osvaldo L.l. ; VELHO, Haroldo F. Campos ; MOREIRA, Davidson M.	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Influence of the autocorrelation function in the derivation of fundamental relationship for the dissipation rate 	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	DEGRAZIA, Gervasio Annes ; CARVALHO, Jonas ; ACEVEDO, Otavio ; GOULART, Antonio ; MORAES, Osvaldo ; VELHO, Haroldo Campos ; VILHENA, Marco Tulio ; MOREIRA, Davidson	Qualis nao identificado	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
trabalhoCompletoEmCongresso	2004		Uma derivação para a função de autocorrelação em condições de meandro do vento horizontal	XIII Congresso Brasileiro de Meteorologia	GOULART, Antonio ; DEGRAZIA, Gervasio Annes ; OETTL, Dietmar ; ANFOSSI, Domenico ; ABENTROTH, Rogério ; MORAES, Osvaldo ; ACEVEDO, Otávio ; MOREIRA, Davidson M ; CARVALHO, Joans da Costa	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		A model for describing the evolution of the energy density spectrum in the convective boundary layer growth	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application.	GOULART, Antonio G ; VELHO, Haroldo Campos ; DEGRAZIA, Gervasio Annes ; ANFOSSI, Domenico ; ACEVEDO, Otavio ; MORAES, Osvaldo ; MOREIRA, Davidson ; CARVALHO, Jonas	Qualis nao identificado	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application.
trabalhoCompletoEmCongresso	2004		Analysing the validity of similarity theories in complex topographies	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	MORAES, O. L. L. ; ACEVEDO, Otavio ; MARTINS, C. A. ; ANABOR, V. ; DEGRAZIA, Gervasio Annes ; SILVA, R. ; ANFOSSI, Domenico	Qualis nao identificado	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
trabalhoCompletoEmCongresso	2004		Simulation of the dispersion pollutants considering nonlocal effects in the solution of the advection-diffusion equation 	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	MOREIRA, Davidson ; COSTA, C ; VILHENA, Marco Tulio ; CARVALHO, Jonas da Costa ; DEGRAZIA, Gervasio Annes ; GOULART, Antonio	Qualis nao identificado	27th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
trabalhoCompletoEmCongresso	2004		State-of-the-art of the admm model for dispersion of pollutants in the atmosphere	XIII Congresso Brasileiro de Meteorologia	MOREIRA, Davidson M ; VILHENA, Marco Tulio ; DEGRAZIA, Gervasio Annes ; GOULART, Antonio ; CARVALHO, Jonas ; TIRABASSI, Tiziano	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Solução semi-analítica da equação de langevin assintótica para o deslocamento aleatório pelo método de Picard 	XIII Congresso Brasileiro de Meteorologia	SZINVELSKI, C ; BULICON, Lidiane ; VILHENA, Marco Tulio ; CARVALHO, Jonas da Costa ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2004		Turbulent coeficients identification under convective and neutral conditions	XIII Congresso Brasileiro de Meteorologia	VELHO, Haroldo Fraga de Campos ; ROBERTI, Debora Regina ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XIII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2003		Some aspects of turbulence and dispersion in low wind speed conditions	26th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	ANFOSSSI, D. ; OETTL, Dietmar ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	26th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
trabalhoCompletoEmCongresso	2003		An eddy diffusivity derivation for the non-isotropic convective decayng turbulence in the residual layer	26th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	GOULART, A. G. O. ; DEGRAZIA, Gervasio Annes ; VILHENA, Marco Tulio de ; ANFOSSSI, D. ; MOREIRA, Davidson Martins ; CARVALHO, Jonas da Costa ; PALANDI, J.	Qualis nao identificado	26th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
trabalhoCompletoEmCongresso	2002		Desenvolvimento de expressões analíticas e integral para o parâmetros de dispersão vertical em condições neutras	XII Congresso Brasileiro de Meteorologia	BRAUER, C. R. N. ; ROBERTI, Debora Regina ; DEGRAZIA, Gervasio Annes ; MOREIRA, Davidson Martins ; MEDEIRO, L. E. ; WELTER, G. S.	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		Um novo método para resolver a equação de Langevin aplicada a dispersão de poluentes atmosféricos	XII Congresso Brasileiro de Meteorologia	CARVALHO, Jonas da Costa ; VILHENA, Marco Tulio de ; MOREIRA, Davidson Martins ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		Uma escala de tempo de descorrelação Lagrangeana função da distancia de viagem da fonte	XII Congresso Brasileiro de Meteorologia	DEGRAZIA, Gervasio Annes ; CARVALHO, Jonas da Costa ; MOREIRA, Davidson Martins ; VELHO, H. F. C.	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		Modelling an eddy diffusivity for convective decaying turbulence in the residual layer	15th Sumposium on Boundary Layer and Turbulence	GOULART, A ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D ; ACEVEDO, O	Qualis nao identificado	15th Sumposium on Boundary Layer and Turbulence
trabalhoCompletoEmCongresso	2002		Coeficientes de difusão turbulenta para camada limite residual	XII Congresso Brasileiro de Meteorologia	GOULART, A. G. ; DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J. ; SILVEIRA, C. P. ; NUNES, A. B. ; SASTRE, F. A. U. V.	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		Parametrização da turbulência aplicada em condições de forte convecção atmosférica	XII Congresso Brasileiro de Meteorologia	MOREIRA, Davidson Martins ; DEGRAZIA, Gervasio Annes ; CARVALHO, Jonas da Costa ; RIZZA, Umberto ; MANGIA, Cristina	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		Comparação entre diferentes coeficientes de difusão da camada limite convectiva	XII Congresso Brasileiro de Meteorologia	NUNES, A. B. ; DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J. ; SILVEIRA, C. P. ; SASTRE, F. A. U. V.	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2002		New formulation for the counter-gradient term and numerical procedure for its identification	XII Congresso Brasileiro de Meteorologia	ROBERTI, Debora Regina ; VELHO, H. F. C. ; DEGRAZIA, Gervasio Annes	Qualis nao identificado	XII Congresso Brasileiro de Meteorologia
trabalhoCompletoEmCongresso	2001		Modelagem estocástica lagrangeana empregada na simulação da dispersão de contaminantes liberados na baixa atmosfera	IX Congresso latino americano e ibérico de meteorologia e VIII congresso argentino de meteorologia	CARVALHO, J. C. ; DEGRAZIA, Gervasio Annes ; ANFOSSI, D. ; MOREIRA, Davidson Martins ; CAMPOS, C. R. J. ; RIZZA, U. ; MANGIA, C. ; VELHO, H. F. C. ; TIRABASSI, T.	Qualis nao identificado	IX Congresso latino americano e ibérico de meteorologia e VIII congresso argentino de meteorologia
trabalhoCompletoEmCongresso	2001		Simulation of air pollution dispersion from a low source in the stable boundary layer: Comparison between Eulerian and Lagrangian models	25th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application	CARVALHO, J. C. ; MOREIRA, D. M. ; DEGRAZIA, Gervasio Annes ; CAMPOS, C. R. J. ; GOULART, A. G. O.	Qualis nao identificado	25th NATO/CCMS International Technical Meeting on Air Polution Modeling and its Application
